Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1771948667,50,,Aggregated,2.700000,0.000000,420,850,1500,2500,8900,32000,54000,59000,67000,67000,67000,551,0,420.0,4084.9065447185812,34.78272905340418,66915.93573900172,6516343.622504537
1771948668,50,,Aggregated,2.900000,0.000000,420,830,1400,2500,8900,32000,54000,59000,67000,67000,67000,555,0,420.0,4057.556413001641,34.78272905340418,66915.93573900172,6469755.992792793
1771948669,50,,Aggregated,3.000000,0.000000,420,820,1400,2500,8900,32000,54000,59000,67000,67000,67000,556,0,410.0,4050.9724300375656,34.78272905340418,66915.93573900172,6458144.723021583
1771948670,50,,Aggregated,3.000000,0.000000,420,820,1400,2500,8900,32000,54000,59000,67000,67000,67000,556,0,410.0,4050.9724300375656,34.78272905340418,66915.93573900172,6458144.723021583
1771948671,50,,Aggregated,3.400000,0.000000,430,830,1400,2500,8900,32000,54000,59000,67000,67000,67000,558,0,420.0,4043.4848233151138,34.78272905340418,66915.93573900172,6435047.035842294
1771948672,50,,Aggregated,3.400000,0.000000,430,830,1400,2500,8900,32000,54000,59000,67000,67000,67000,558,0,420.0,4043.4848233151138,34.78272905340418,66915.93573900172,6435047.035842294
1771948673,50,,Aggregated,2.700000,0.000000,420,820,1400,2500,8900,32000,54000,59000,67000,67000,67000,559,0,420.0,4036.3581483378343,34.78272905340418,66915.93573900172,6423537.899821109
1771948674,50,,Aggregated,2.700000,0.000000,420,820,1400,2500,8900,32000,54000,59000,67000,67000,67000,560,0,410.0,4029.5541842229018,34.78272905340418,66915.93573900172,6412190.905357143
1771948675,50,,Aggregated,2.700000,0.000000,420,820,1400,2500,8900,32000,54000,59000,67000,67000,67000,560,0,410.0,4029.5541842229018,34.78272905340418,66915.93573900172,6412190.905357143
1771948676,50,,Aggregated,2.700000,0.000000,420,820,1400,2500,8900,32000,54000,59000,67000,67000,67000,560,0,410.0,4029.5541842229018,34.78272905340418,66915.93573900172,6412190.905357143
1771948677,50,,Aggregated,2.700000,0.000000,420,820,1400,2500,8900,32000,54000,59000,67000,67000,67000,560,0,410.0,4029.5541842229018,34.78272905340418,66915.93573900172,6412190.905357143
1771948678,50,,Aggregated,2.700000,0.000000,420,820,1400,2500,8900,32000,54000,59000,67000,67000,67000,560,0,410.0,4029.5541842229018,34.78272905340418,66915.93573900172,6412190.905357143
1771948679,50,,Aggregated,1.100000,0.000000,430,850,1500,2900,9300,32000,55000,61000,83000,83000,83000,564,0,430.0,4186.444096591803,34.78272905340418,83251.29375496181,6497254.962765957
1771948680,50,,Aggregated,1.100000,0.000000,430,850,1500,2900,9300,32000,55000,61000,83000,83000,83000,564,0,430.0,4186.444096591803,34.78272905340418,83251.29375496181,6497254.962765957
1771948681,50,,Aggregated,0.600000,0.000000,430,850,1500,2900,9300,32000,55000,61000,83000,83000,83000,565,0,430.0,4188.4792926721275,34.78272905340418,83251.29375496181,6488262.573451327
1771948682,50,,Aggregated,0.600000,0.000000,430,850,1500,2900,9300,32000,55000,61000,83000,83000,83000,565,0,430.0,4188.4792926721275,34.78272905340418,83251.29375496181,6488262.573451327
1771948683,50,,Aggregated,0.800000,0.000000,430,880,1500,3000,11000,32000,55000,61000,83000,83000,83000,568,0,430.0,4233.07984423722,34.78272905340418,83251.29375496181,6479175.751760564
1771948684,50,,Aggregated,0.800000,0.000000,430,900,1500,3100,11000,32000,55000,61000,83000,83000,83000,569,0,430.0,4244.897193184142,34.78272905340418,83251.29375496181,6470278.3514938485
1771948685,50,,Aggregated,1.000000,0.000000,430,900,1600,3100,11000,32000,55000,61000,83000,83000,83000,571,0,430.0,4236.605033549421,34.78272905340418,83251.29375496181,6450098.733800351
1771948686,50,,Aggregated,1.000000,0.000000,440,900,1600,3100,11000,32000,55000,61000,83000,83000,83000,572,0,430.0,4230.6108990327175,34.78272905340418,83251.29375496181,6440031.611888112
